REGION,States/UTs,District,Year,CRIME_TYPE,COUNT
Telangana (state),Telangana,Karimnagar,2014,Kidnapping & Abduction in order to Murder,1
Telangana (state),Telangana,Karimnagar,2014,Kidnapping & Abduction of Women to compel her for marriage,43
Telangana (state),Telangana,Karimnagar,2014,Kidnapping & Abduction_Total,106
Telangana (state),Telangana,Karimnagar,2014,Kidnapping for Ransom,2
Telangana (state),Telangana,Karimnagar,2014,Making Preparation and Assembly for committing Dacoity,0
Telangana (state),Telangana,Karimnagar,2014,Making or Possessing materials for forged currency/Bank notes,0
Telangana (state),Telangana,Karimnagar,2014,Making or Using documents resembling currency,0
Telangana (state),Telangana,Karimnagar,2014,Murder,109
Telangana (state),Telangana,Karimnagar,2014,Offences against State,0
Telangana (state),Telangana,Karimnagar,2014,Offences promoting enmity between different groups,0
Telangana (state),Telangana,Karimnagar,2014,Other Assault on Women,363
Telangana (state),Telangana,Karimnagar,2014,Other Dacoity,5
Telangana (state),Telangana,Karimnagar,2014,Other IPC crimes,3845
Telangana (state),Telangana,Karimnagar,2014,Other Kidnapping,23
Telangana (state),Telangana,Karimnagar,2014,Other Thefts,490
Telangana (state),Telangana,Karimnagar,2014,Other offences against State,0
Telangana (state),Telangana,Karimnagar,2014,Other places related to work,0
Telangana (state),Telangana,Karimnagar,2014,"Places other than 231, 232 & 233",70
Telangana (state),Telangana,Karimnagar,2014,Possession of forged or counterfeiting currency/Bank notes,0
Telangana (state),Telangana,Karimnagar,2014,Promoting enmity between different groups,0
Telangana (state),Telangana,Karimnagar,2014,Rape,66
Telangana (state),Telangana,Karimnagar,2014,Rape other than Custodial,66
Telangana (state),Telangana,Karimnagar,2014,Rape_Gang Rape,0
Telangana (state),Telangana,Karimnagar,2014,Rape_Others,66
Telangana (state),Telangana,Karimnagar,2014,Riots,87
Telangana (state),Telangana,Karimnagar,2014,Riots_Agrarian,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Caste Conflict,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Communal,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Industrial,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Other Caste Conflict,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Others,87
Telangana (state),Telangana,Karimnagar,2014,Riots_Political,0
Telangana (state),Telangana,Karimnagar,2014,Riots_SC/STs Vs Non-SCs/STs,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Sectarian,0
Telangana (state),Telangana,Karimnagar,2014,Riots_Students,0
Telangana (state),Telangana,Karimnagar,2014,Robbery,36
Telangana (state),Telangana,Karimnagar,2014,Sedition,0
Telangana (state),Telangana,Karimnagar,2014,Sexual Harassment,5
Telangana (state),Telangana,Karimnagar,2014,Stalking,2
Telangana (state),Telangana,Karimnagar,2014,Theft,735
Telangana (state),Telangana,Karimnagar,2014,Total Cognizable IPC crimes,9382
Telangana (state),Telangana,Karimnagar,2014,Unlawful Assembly,0
Telangana (state),Telangana,Karimnagar,2014,Unnatural Offence,0
